X,Y,Z
0.019,0.017,0.021
0.019,0.017,0.021
0.021,0.017,0.023
0.021,0.017,0.023
0.021,0.017,0.023
0.021,0.017,0.023
0.021,0.017,0.023
0.024,0.015,0.026
0.024,0.015,0.026
0.024,0.015,0.026
0.024,0.015,0.026
0.024,0.015,0.026
0.02,0.018,0.026
0.02,0.018,0.026
0.02,0.018,0.026
0.02,0.018,0.026
0.02,0.018,0.026
0.019,0.021,0.029
0.019,0.021,0.029
0.019,0.021,0.029
0.019,0.021,0.029
0.019,0.021,0.029
0.022,0.019,0.026
0.022,0.019,0.026
0.022,0.019,0.026
0.022,0.019,0.026
0.022,0.019,0.026
0.02,0.017,0.022
0.02,0.017,0.022
0.02,0.017,0.022
0.02,0.017,0.022
0.02,0.017,0.022
0.021,0.02,0.021
0.021,0.02,0.021
0.021,0.02,0.021
0.021,0.02,0.021
0.021,0.02,0.021
0.026,0.02,0.023
0.159,0.158,0.201
0.159,0.158,0.201
0.159,0.158,0.201
0.159,0.158,0.201
0.159,0.158,0.201
0.169,0.181,0.245
0.169,0.181,0.245
0.169,0.181,0.245
0.169,0.181,0.245
0.169,0.181,0.245
0.161,0.178,0.197
0.161,0.178,0.197
0.161,0.178,0.197
0.161,0.178,0.197
0.161,0.178,0.197
0.173,0.158,0.199
0.173,0.158,0.199
0.173,0.158,0.199
0.173,0.158,0.199
0.173,0.158,0.199
0.175,0.175,0.215
0.175,0.175,0.215
0.175,0.175,0.215
0.175,0.175,0.215
0.175,0.175,0.215
0.191,0.183,0.22
0.191,0.183,0.22
0.191,0.183,0.22
0.191,0.183,0.22
0.191,0.183,0.22
0.167,0.174,0.212
0.167,0.174,0.212
0.167,0.174,0.212
0.167,0.174,0.212
0.167,0.174,0.212
0.159,0.178,0.207
0.159,0.178,0.207
0.159,0.178,0.207
0.159,0.178,0.207
0.159,0.178,0.207
0.18,0.182,0.212
0.18,0.182,0.212
0.18,0.182,0.212
0.18,0.182,0.212
0.18,0.182,0.212
0.169,0.192,0.205
0.169,0.192,0.205
0.169,0.192,0.205
0.169,0.192,0.205
0.169,0.192,0.205
0.179,0.189,0.214
0.179,0.189,0.214
0.179,0.189,0.214
0.179,0.189,0.214
0.179,0.189,0.214
0.172,0.183,0.204
0.172,0.183,0.204
0.172,0.183,0.204
0.172,0.183,0.204
0.172,0.183,0.204
0.163,0.178,0.213
0.163,0.178,0.213
0.163,0.178,0.213
0.163,0.178,0.213
0.163,0.178,0.213
0.156,0.18,0.216
0.156,0.18,0.216
0.156,0.18,0.216
0.156,0.18,0.216
0.156,0.18,0.216
0.162,0.171,0.204
0.162,0.171,0.204
0.162,0.171,0.204
0.162,0.171,0.204
0.162,0.171,0.204
0.179,0.181,0.234
0.179,0.181,0.234
0.179,0.181,0.234
0.179,0.181,0.234
0.179,0.181,0.234
0.165,0.176,0.209
0.165,0.176,0.209
0.165,0.176,0.209
0.165,0.176,0.209
0.165,0.176,0.209
0.187,0.174,0.242
0.187,0.174,0.242
0.187,0.174,0.242
0.187,0.174,0.242
0.187,0.174,0.242
0.179,0.175,0.203
0.179,0.175,0.203
0.179,0.175,0.203
0.179,0.175,0.203
0.179,0.175,0.203
0.171,0.184,0.204
0.171,0.184,0.204
0.171,0.184,0.204
0.171,0.184,0.204
0.171,0.184,0.204
0.184,0.194,0.216
0.184,0.194,0.216
0.184,0.194,0.216
0.184,0.194,0.216
0.184,0.194,0.216
0.18,0.174,0.199
0.18,0.174,0.199
0.18,0.174,0.199
0.18,0.174,0.199
0.18,0.174,0.199
0.167,0.171,0.211
0.167,0.171,0.211
0.167,0.171,0.211
0.167,0.171,0.211
0.167,0.171,0.211
0.179,0.174,0.2
0.179,0.174,0.2
0.179,0.174,0.2
0.179,0.174,0.2
0.179,0.174,0.2
0.181,0.176,0.203
0.181,0.176,0.203
0.181,0.176,0.203
0.181,0.176,0.203
0.181,0.176,0.203
0.167,0.181,0.215
0.167,0.181,0.215
0.167,0.181,0.215
0.167,0.181,0.215
0.167,0.181,0.215
0.173,0.177,0.223
0.173,0.177,0.223
0.173,0.177,0.223
0.173,0.177,0.223
0.173,0.177,0.223
0.165,0.183,0.231
0.165,0.183,0.231
0.165,0.183,0.231
0.165,0.183,0.231
0.165,0.183,0.231
0.167,0.164,0.205
0.167,0.164,0.205
0.167,0.164,0.205
0.167,0.164,0.205
0.167,0.164,0.205
0.159,0.17,0.223
0.159,0.17,0.223
0.159,0.17,0.223
0.159,0.17,0.223
0.159,0.17,0.223
0.153,0.161,0.192
0.153,0.161,0.192
0.153,0.161,0.192
0.153,0.161,0.192
0.153,0.161,0.192
0.164,0.181,0.226
0.164,0.181,0.226
0.164,0.181,0.226
0.164,0.181,0.226
0.164,0.181,0.226
0.161,0.187,0.205
0.161,0.187,0.205
0.161,0.187,0.205
0.161,0.187,0.205
0.161,0.187,0.205
0.166,0.175,0.188
0.166,0.175,0.188
0.166,0.175,0.188
0.166,0.175,0.188
0.166,0.175,0.188
0.158,0.173,0.208
0.158,0.173,0.208
0.158,0.173,0.208
0.158,0.173,0.208
0.158,0.173,0.208
0.178,0.191,0.223
0.178,0.191,0.223
0.178,0.191,0.223
0.178,0.191,0.223
0.178,0.191,0.223
0.174,0.195,0.214
0.174,0.195,0.214
0.174,0.195,0.214
0.174,0.195,0.214
0.174,0.195,0.214
0.174,0.17,0.205
0.174,0.17,0.205
0.174,0.17,0.205
0.174,0.17,0.205
0.174,0.17,0.205
0.18,0.175,0.227
0.18,0.175,0.227
0.18,0.175,0.227
0.18,0.175,0.227
0.18,0.175,0.227
0.172,0.184,0.208
0.172,0.184,0.208
0.172,0.184,0.208
0.172,0.184,0.208
0.172,0.184,0.208
0.164,0.175,0.207
0.164,0.175,0.207
0.164,0.175,0.207
0.164,0.175,0.207
0.164,0.175,0.207
0.173,0.175,0.215
0.173,0.175,0.215
0.173,0.175,0.215
0.173,0.175,0.215
0.173,0.175,0.215
0.182,0.178,0.212
0.182,0.178,0.212
0.182,0.178,0.212
0.182,0.178,0.212
0.182,0.178,0.212
0.18,0.193,0.202
0.18,0.193,0.202
0.18,0.193,0.202
0.18,0.193,0.202
0.18,0.193,0.202
0.179,0.176,0.194
0.179,0.176,0.194
0.179,0.176,0.194
0.179,0.176,0.194
0.179,0.176,0.194
0.182,0.17,0.201
0.182,0.17,0.201
0.182,0.17,0.201
0.182,0.17,0.201
0.182,0.17,0.201
0.169,0.175,0.204
0.169,0.175,0.204
0.169,0.175,0.204
0.169,0.175,0.204
0.169,0.175,0.204
0.19,0.178,0.228
0.19,0.178,0.228
0.19,0.178,0.228
0.19,0.178,0.228
0.19,0.178,0.228
0.172,0.174,0.218
0.172,0.174,0.218
0.172,0.174,0.218
0.172,0.174,0.218
0.172,0.174,0.218
0.183,0.178,0.215
0.183,0.178,0.215
0.183,0.178,0.215
0.183,0.178,0.215
0.183,0.178,0.215
0.177,0.172,0.226
0.177,0.172,0.226
0.177,0.172,0.226
0.177,0.172,0.226
0.177,0.172,0.226
0.188,0.172,0.197
0.188,0.172,0.197
0.188,0.172,0.197
0.188,0.172,0.197
0.188,0.172,0.197
0.175,0.192,0.224
0.175,0.192,0.224
0.175,0.192,0.224
0.175,0.192,0.224
0.175,0.192,0.224
0.168,0.187,0.195
0.168,0.187,0.195
0.168,0.187,0.195
0.168,0.187,0.195
0.168,0.187,0.195
0.18,0.177,0.223
0.18,0.177,0.223
0.18,0.177,0.223
0.18,0.177,0.223
0.18,0.177,0.223
0.176,0.17,0.218
0.176,0.17,0.218
0.176,0.17,0.218
0.176,0.17,0.218
0.176,0.17,0.218
0.16,0.168,0.204
0.16,0.168,0.204
0.16,0.168,0.204
0.16,0.168,0.204
0.16,0.168,0.204
0.181,0.19,0.222
0.181,0.19,0.222
0.181,0.19,0.222
0.181,0.19,0.222
0.181,0.19,0.222
0.172,0.177,0.199
0.172,0.177,0.199
0.172,0.177,0.199
0.172,0.177,0.199
0.172,0.177,0.199
0.169,0.187,0.203
0.169,0.187,0.203
0.169,0.187,0.203
0.169,0.187,0.203
0.169,0.187,0.203
0.173,0.183,0.201
0.173,0.183,0.201
0.173,0.183,0.201
0.173,0.183,0.201
0.173,0.183,0.201
0.179,0.169,0.218
0.179,0.169,0.218
0.179,0.169,0.218
0.179,0.169,0.218
0.179,0.169,0.218
0.168,0.161,0.188
0.168,0.161,0.188
0.168,0.161,0.188
0.168,0.161,0.188
0.168,0.161,0.188
0.169,0.174,0.215
0.169,0.174,0.215
0.169,0.174,0.215
0.169,0.174,0.215
0.169,0.174,0.215
0.178,0.173,0.223
0.178,0.173,0.223
0.178,0.173,0.223
0.178,0.173,0.223
0.178,0.173,0.223
0.166,0.165,0.202
0.166,0.165,0.202
0.166,0.165,0.202
0.166,0.165,0.202
0.166,0.165,0.202
0.184,0.184,0.213
0.184,0.184,0.213
0.184,0.184,0.213
0.184,0.184,0.213
0.184,0.184,0.213
0.161,0.185,0.213
0.161,0.185,0.213
0.161,0.185,0.213
0.161,0.185,0.213
0.161,0.185,0.213
0.193,0.18,0.223
0.193,0.18,0.223
0.193,0.18,0.223
0.193,0.18,0.223
0.193,0.18,0.223
0.171,0.183,0.205
0.171,0.183,0.205
0.171,0.183,0.205
0.171,0.183,0.205
0.171,0.183,0.205
0.178,0.17,0.221
0.178,0.17,0.221
0.178,0.17,0.221
0.178,0.17,0.221
0.178,0.17,0.221
0.173,0.181,0.229
0.173,0.181,0.229
0.173,0.181,0.229
0.173,0.181,0.229
0.173,0.181,0.229
0.175,0.169,0.198
0.175,0.169,0.198
0.175,0.169,0.198
0.175,0.169,0.198
0.175,0.169,0.198
0.171,0.177,0.215
0.171,0.177,0.215
0.171,0.177,0.215
0.171,0.177,0.215
0.171,0.177,0.215
0.161,0.17,0.207
0.161,0.17,0.207
0.161,0.17,0.207
0.161,0.17,0.207
0.161,0.17,0.207
0.171,0.164,0.218
0.171,0.164,0.218
0.171,0.164,0.218
0.171,0.164,0.218
0.171,0.164,0.218
0.164,0.17,0.202
0.164,0.17,0.202
0.164,0.17,0.202
0.164,0.17,0.202
0.164,0.17,0.202
0.164,0.191,0.213
0.164,0.191,0.213
0.164,0.191,0.213
0.164,0.191,0.213
0.164,0.191,0.213
0.185,0.188,0.217
0.185,0.188,0.217
0.185,0.188,0.217
0.185,0.188,0.217
0.185,0.188,0.217
0.174,0.169,0.188
0.174,0.169,0.188
0.174,0.169,0.188
0.174,0.169,0.188
0.174,0.169,0.188
0.168,0.173,0.216
0.175,0.177,0.23
0.175,0.177,0.23
0.175,0.177,0.23
0.175,0.177,0.23
0.175,0.177,0.23
0.182,0.182,0.235
0.182,0.182,0.235
0.182,0.182,0.235
0.182,0.182,0.235
0.182,0.182,0.235
0.163,0.179,0.199
0.163,0.179,0.199
0.163,0.179,0.199
0.163,0.179,0.199
0.163,0.179,0.199
0.166,0.185,0.24
0.166,0.185,0.24
0.166,0.185,0.24
0.166,0.185,0.24
0.166,0.185,0.24
0.179,0.182,0.221
0.179,0.182,0.221
0.179,0.182,0.221
0.179,0.182,0.221
0.179,0.182,0.221
0.174,0.171,0.202
0.174,0.171,0.202
0.174,0.171,0.202
0.174,0.171,0.202
0.174,0.171,0.202
0.182,0.174,0.206
0.182,0.174,0.206
0.182,0.174,0.206
0.182,0.174,0.206
0.182,0.174,0.206
0.173,0.166,0.216
0.173,0.166,0.216
0.173,0.166,0.216
0.173,0.166,0.216
0.173,0.166,0.216
0.184,0.174,0.233
0.184,0.174,0.233
0.184,0.174,0.233
0.184,0.174,0.233
0.184,0.174,0.233
0.163,0.176,0.221
0.163,0.176,0.221
0.163,0.176,0.221
0.163,0.176,0.221
0.163,0.176,0.221
0.179,0.178,0.236
0.179,0.178,0.236
0.179,0.178,0.236
0.179,0.178,0.236
0.179,0.178,0.236
0.174,0.175,0.208
0.174,0.175,0.208
0.174,0.175,0.208
0.174,0.175,0.208
0.174,0.175,0.208
0.168,0.163,0.208
0.168,0.163,0.208
0.168,0.163,0.208
0.168,0.163,0.208
0.168,0.163,0.208
0.168,0.178,0.23
0.168,0.178,0.23
0.168,0.178,0.23
0.168,0.178,0.23
0.168,0.178,0.23
0.185,0.177,0.209
0.185,0.177,0.209
0.185,0.177,0.209
0.185,0.177,0.209
0.185,0.177,0.209
0.166,0.173,0.215
0.166,0.173,0.215
0.166,0.173,0.215
0.166,0.173,0.215
0.166,0.173,0.215
0.168,0.173,0.208
0.168,0.173,0.208
0.168,0.173,0.208
0.168,0.173,0.208
0.168,0.173,0.208
0.179,0.176,0.225
0.179,0.176,0.225
0.179,0.176,0.225
0.179,0.176,0.225
0.179,0.176,0.225
0.177,0.177,0.211
0.177,0.177,0.211
0.177,0.177,0.211
0.177,0.177,0.211
0.177,0.177,0.211
0.177,0.18,0.232
0.177,0.18,0.232
0.177,0.18,0.232
0.177,0.18,0.232
0.177,0.18,0.232
0.169,0.183,0.209
0.169,0.183,0.209
0.169,0.183,0.209
0.169,0.183,0.209
0.169,0.183,0.209
0.158,0.175,0.216
0.158,0.175,0.216
0.158,0.175,0.216
0.158,0.175,0.216
0.158,0.175,0.216
0.156,0.186,0.228
0.156,0.186,0.228
0.156,0.186,0.228
0.156,0.186,0.228
0.156,0.186,0.228
0.157,0.171,0.206
0.157,0.171,0.206
0.157,0.171,0.206
0.157,0.171,0.206
0.157,0.171,0.206
