X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6,Label
0.018,0.018,0.019,0.019,0.019,0.019,19.031,32.135,13.622,14.205,27.051,42.097,0.024,0.024,0.022,0.022,0.022,0.022,1
0.018,0.019,0.019,0.019,0.019,0.019,27.402,5.6693,28.688,11.116,38.467,33.55,0.024,0.022,0.022,0.022,0.022,0.022,1
0.019,0.019,0.019,0.019,0.019,0.015,13.426,13.552,27.371,37.477,33.971,33.937,0.022,0.022,0.022,0.022,0.022,0.026,1
0.019,0.019,0.019,0.019,0.015,0.015,15.057,12.254,25.619,20.943,27.529,5.4757,0.022,0.022,0.022,0.022,0.026,0.026,1
0.019,0.019,0.019,0.015,0.015,0.015,28.841,30.983,39.512,40.264,13.212,39.111,0.022,0.022,0.022,0.026,0.026,0.026,1
0.019,0.019,0.015,0.015,0.015,0.015,13.995,38.433,13.974,19.308,30.923,42.232,0.022,0.022,0.026,0.026,0.026,0.026,1
0.019,0.015,0.015,0.015,0.015,0.015,37.589,17.336,16.223,35.257,6.323,44.342,0.022,0.026,0.026,0.026,0.026,0.026,1
0.015,0.015,0.015,0.015,0.015,0.018,44.268,35.738,7.8309,19.545,29.216,39.047,0.026,0.026,0.026,0.026,0.026,0.025,1
0.015,0.015,0.015,0.015,0.018,0.018,33.616,31.299,42.461,36.919,30.692,35.951,0.026,0.026,0.026,0.026,0.025,0.025,1
0.015,0.015,0.015,0.018,0.018,0.018,17.312,3.0834,30.042,34.664,33.596,24.465,0.026,0.026,0.026,0.025,0.025,0.025,1
0.015,0.015,0.018,0.018,0.018,0.018,27.448,28.212,23.033,18.726,40.39,10.295,0.026,0.026,0.025,0.025,0.025,0.025,1
0.015,0.018,0.018,0.018,0.018,0.018,7.3479,19.122,29.779,11.916,44.253,19.62,0.026,0.025,0.025,0.025,0.025,0.025,1
0.018,0.018,0.018,0.018,0.018,0.02,41.046,41.455,25.787,36.155,35.253,8.4519,0.025,0.025,0.025,0.025,0.025,0.024,1
0.018,0.018,0.018,0.018,0.02,0.02,39.921,2.8486,30.117,42.861,27.337,4.1035,0.025,0.025,0.025,0.025,0.024,0.024,1
0.018,0.018,0.018,0.02,0.02,0.02,37.309,22.315,25.752,16.623,41.975,42.432,0.025,0.025,0.025,0.024,0.024,0.024,1
0.018,0.018,0.02,0.02,0.02,0.02,13.803,20.708,33.228,31.127,27.28,15.515,0.025,0.025,0.024,0.024,0.024,0.024,1
0.018,0.02,0.02,0.02,0.02,0.02,27.882,22.251,24.849,21.311,3.5167,15.272,0.025,0.024,0.024,0.024,0.024,0.024,1
0.02,0.02,0.02,0.02,0.02,0.022,3.75,35.301,44.734,37.974,7.9003,16.85,0.024,0.024,0.024,0.024,0.024,0.025,1
0.02,0.02,0.02,0.02,0.022,0.022,20.746,16.408,12.028,35.246,39.206,22.51,0.024,0.024,0.024,0.024,0.025,0.025,1
0.02,0.02,0.02,0.022,0.022,0.022,15.997,35.916,7.2647,9.8581,23.237,30.154,0.024,0.024,0.024,0.025,0.025,0.025,1
0.02,0.02,0.022,0.022,0.022,0.022,9.6147,22.691,7.4292,39.176,38.453,3.8646,0.024,0.024,0.025,0.025,0.025,0.025,1
0.02,0.022,0.022,0.022,0.022,0.022,10.344,4.3092,5.4836,44.573,11.637,38.341,0.024,0.025,0.025,0.025,0.025,0.025,1
0.022,0.022,0.022,0.022,0.022,0.019,20.646,10.222,19.873,24.509,26.107,26.391,0.025,0.025,0.025,0.025,0.025,0.026,1
0.022,0.022,0.022,0.022,0.019,0.019,6.7765,33.258,21.721,40.117,29.381,38.843,0.025,0.025,0.025,0.025,0.026,0.026,1
0.022,0.022,0.022,0.019,0.019,0.019,28.058,22.781,18.237,27.615,4.15,17.481,0.025,0.025,0.025,0.026,0.026,0.026,1
0.022,0.022,0.019,0.019,0.019,0.019,22.673,9.2448,35.02,9.3305,28.741,21.622,0.025,0.025,0.026,0.026,0.026,0.026,1
0.022,0.019,0.019,0.019,0.019,0.019,32.169,17.195,29.297,11.234,18.094,5.0889,0.025,0.026,0.026,0.026,0.026,0.026,1
0.019,0.019,0.019,0.019,0.019,0.02,32.335,28.432,35.378,19.973,4.8903,10.274,0.026,0.026,0.026,0.026,0.026,0.028,1
0.019,0.019,0.019,0.019,0.02,0.02,29.746,10.892,42.166,34.395,23.46,30.771,0.026,0.026,0.026,0.026,0.028,0.028,1
0.019,0.019,0.019,0.02,0.02,0.02,4.2181,33.962,43.85,37.64,10.924,16.761,0.026,0.026,0.026,0.028,0.028,0.028,1
0.019,0.019,0.02,0.02,0.02,0.02,5.7036,13.048,10.904,36.136,7.9941,40.716,0.026,0.026,0.028,0.028,0.028,0.028,1
0.019,0.02,0.02,0.02,0.02,0.02,16.287,41.515,8.6605,16.242,11.472,7.7861,0.026,0.028,0.028,0.028,0.028,0.028,1
0.02,0.02,0.02,0.02,0.02,0.024,25.202,14.154,32.182,25.338,8.9829,44.511,0.028,0.028,0.028,0.028,0.028,0.026,1
0.02,0.02,0.02,0.02,0.024,0.024,30.418,35.104,6.7592,6.5959,10.779,25.587,0.028,0.028,0.028,0.028,0.026,0.026,1
0.02,0.02,0.02,0.024,0.024,0.024,20.002,10.762,24.972,7.514,4.5999,32.632,0.028,0.028,0.028,0.026,0.026,0.026,1
0.02,0.02,0.024,0.024,0.024,0.024,37.403,14.932,25.181,8.5515,29.605,44.979,0.028,0.028,0.026,0.026,0.026,0.026,1
0.02,0.024,0.024,0.024,0.024,0.024,33.115,6.645,39.14,31.439,14.695,14.947,0.028,0.026,0.026,0.026,0.026,0.026,1
0.024,0.024,0.024,0.024,0.024,0.018,43.677,27.116,23.261,23.696,25.529,20.293,0.026,0.026,0.026,0.026,0.026,0.023,1
0.024,0.024,0.024,0.024,0.018,0.018,25.222,31.638,19.404,10.806,32.136,22.416,0.026,0.026,0.026,0.026,0.023,0.023,1
0.024,0.024,0.024,0.018,0.018,0.018,16.521,25.866,31.134,23.689,23.863,35.039,0.026,0.026,0.026,0.023,0.023,0.023,1
0.024,0.024,0.018,0.018,0.018,0.018,7.2576,20.766,34.081,9.0291,25.411,37.328,0.026,0.026,0.023,0.023,0.023,0.023,1
0.024,0.018,0.018,0.018,0.018,0.018,28.582,29.995,24.746,5.1199,21.587,7.0293,0.026,0.023,0.023,0.023,0.023,0.023,1
10.317,32.025,7.5384,44.491,36.948,12.243,0.021,0.021,0.021,0.021,0.021,0.018,0.023,0.023,0.023,0.023,0.023,0.02,1
17.977,26.291,35.903,9.9922,34.392,18.564,0.021,0.021,0.021,0.021,0.018,0.018,0.023,0.023,0.023,0.023,0.02,0.02,1
5.1929,19.533,15.104,13.679,7.8719,6.4925,0.021,0.021,0.021,0.018,0.018,0.018,0.023,0.023,0.023,0.02,0.02,0.02,1
24.824,5.3991,28.269,19.545,24.957,29.813,0.021,0.021,0.018,0.018,0.018,0.018,0.023,0.023,0.02,0.02,0.02,0.02,1
16.973,35.723,43.499,5.9226,16.55,10.422,0.021,0.018,0.018,0.018,0.018,0.018,0.023,0.02,0.02,0.02,0.02,0.02,1
10.213,17.046,21.051,31.669,25.86,4.7012,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.02,0.02,0.02,0.029,1
11.618,28.452,32.119,19.781,19.633,33.318,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.02,0.02,0.029,0.029,1
40.997,34.081,34.792,44.276,20.317,17.462,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.02,0.029,0.029,0.029,1
31.302,7.2231,21.058,19.772,10.427,30.678,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.029,0.029,0.029,0.029,1
22.569,8.1969,30.462,28.992,13.577,18.999,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.029,0.029,0.029,0.029,0.029,1
41.292,25.991,7.4317,9.3144,3.6666,29.274,0.018,0.018,0.018,0.018,0.018,0.019,0.029,0.029,0.029,0.029,0.029,0.024,1
7.1893,23.277,42.205,18.893,41.779,3.7136,0.018,0.018,0.018,0.018,0.019,0.019,0.029,0.029,0.029,0.029,0.024,0.024,1
34.262,40.378,10.711,9.5999,30.386,41.226,0.018,0.018,0.018,0.019,0.019,0.019,0.029,0.029,0.029,0.024,0.024,0.024,1
33.87,36.516,14.033,34.792,42.156,36.584,0.018,0.018,0.019,0.019,0.019,0.019,0.029,0.029,0.024,0.024,0.024,0.024,1
26.511,33.789,36.468,39.561,9.7002,34.275,0.018,0.019,0.019,0.019,0.019,0.019,0.029,0.024,0.024,0.024,0.024,0.024,1
